MC "Quiero saber qué tipo de persona está buscando Chitose…"

Akiko "¿Porque será que me esperaba esa pregunta?[setExpression(Akiko,body,laugh,6)]"

narrator "Dijo Akiko de manera sarcástica mientras mantenía una sonrisa burlona en su rostro."

Akiko "No puedo hablar todo sobre mi amiga a sus espaldas.[setExpression(Akiko,body,smile1,6)]"

narrator "Tampoco esperaba enterarme de todo."

Akiko "Si quieres una oportunidad con ella demuéstrale que puedes llegar a manipular a las personas.[setExpression(Akiko,body,smug,6)]"

narrator "¿Y para qué necesita a alguien así?, bueno no es que no pudiera intentarlo…"

Akiko "Es lo único que te puedo decir.[setExpression(Akiko,body,smile2,6)]"

narrator "Me quede pensando tan profundamente que no me di cuenta de que Akiko ya se había ido.[exit(Akiko)]"

"[Load(chapter_1_ab_ab_c_ab1)]"
